direccion_normalizada,lat_orig,lon_orig,lat_snap,lon_snap,snap_dist_m,calle,highway_type,hgv_ok
CALLE FRANCESC RIBAS 1|08402|GRANOLLERS,41.613714,2.292026,41.613730,2.291927,8.44,Carrer de Girona,,1
CALLE FRANSCESC RIBAS 64|08402|GRANOLLERS,41.613714,2.292026,41.613730,2.291927,8.44,Carrer de Girona,,1
"CALLE FRANSCESC RIBAS, 64|08402|GRANOLLERS",41.613714,2.292026,41.613730,2.291927,8.44,Carrer de Girona,,1
CALLE GAIETA VINZIA 11|08100|MOLLET DEL VALLES,41.539919,2.211876,41.539962,2.211932,6.68,Carrer de Gaietà Vinzia,,1
CALLE GAIETA VINZIA 60|08100|MOLLET DEL VALLES,41.541288,2.210284,41.541235,2.210209,8.59,Carrer de Gaietà Vinzia,,1
CALLE GAIETA VINZIA 81|08100|MOLLET DEL VALLES,41.541383,2.209916,41.541422,2.209971,6.31,Carrer de Gaietà Vinzia,,1
CALLE GALILEU GALILEI 16|08403|GRANOLLERS,41.592642,2.264244,41.592642,2.264244,0.00,Carrer Galileu Galilei,,1
CALLE GALLECS 17|08100|MOLLET DEL VALLES,41.544204,2.210261,41.544233,2.210320,5.88,Carrer de Gallecs,,1
CALLE GALLECS 50|08100|MOLLET DEL VALLES,41.548589,2.207587,41.548589,2.207587,0.00,Carrer de Gallecs,,1
CALLE GALLECS 58|08100|MOLLET DEL VALLES,41.548026,2.207937,41.548001,2.207829,9.43,Carrer de Gallecs,,1
CALLE GALLECS 64|08100|MOLLET DEL VALLES,41.548419,2.207772,41.548395,2.207667,9.16,Carrer de Gallecs,,1
CALLE GARCIA ESTRADA 20|08560|MANLLEU,42.011587,2.290393,42.011587,2.290393,0.00,Carrer de Garcia Estrada,,1
CALLE GES D'AVALL 4|08570|TORELLO,42.047179,2.260597,42.047715,2.260881,64.01,Carrer de Sant Josep,,1
CALLE GIRONA 12|08402|GRANOLLERS,41.606114,2.300811,41.606114,2.300811,0.00,Carrer Girona,,1
CALLE GIRONA 14|08402|GRANOLLERS,41.606114,2.300811,41.606114,2.300811,0.00,Carrer Girona,,1
CALLE GIRONA 183|08402|GRANOLLERS,41.606114,2.300811,41.606114,2.300811,0.00,Carrer Girona,,1
CALLE GIRONA 300|08521|BELLAVISTA,41.617067,2.294143,41.617067,2.294143,0.00,Carrer de Girona,,1
CALLE GIRONA 301|08402|GRANOLLERS,41.606114,2.300811,41.606114,2.300811,0.00,Carrer Girona,,1
CALLE GIRONA 337|08402|GRANOLLERS,41.606114,2.300811,41.606114,2.300811,0.00,Carrer Girona,,1
CALLE GIRONA 33|08570|TORELLO,42.053294,2.252178,42.053294,2.252178,0.00,Carrer de Girona,,1
CALLE GIRONA 34|08521|LES FRANQUESES DEL VALLES,41.617231,2.294442,41.617277,2.294260,16.00,,,1
CALLE GOMBAU DE BESORA 1|08580|SANT QUIRZE DE BESORA,42.104831,2.217647,42.104841,2.217918,22.44,Carrer de l'Estació,,1
CALLE GRACIA 12|08573|ORIS,42.058186,2.238710,42.058186,2.238710,0.00,Carrer de Gràcia,,1
CALLE GRACIA 4|08573|ORIS,42.058186,2.238912,42.058145,2.238735,15.34,Carrer de Gràcia,,1
CALLE GRAN 1|08506|CALLDETENES,41.925429,2.282826,41.925429,2.282826,0.00,Carrer Gran,,1
CALLE GRAN VIAL 19-25|08160|MONTMELO,41.548148,2.254108,41.548148,2.254108,0.00,Carrer del Gran Vial,,1
CALLE INDEPENDENCIA 51|08150|PARETS DEL VALLES,41.560164,2.221666,41.560169,2.221767,8.44,Carrer de la Independència,,1
CALLE ISABEL DE VILLENA 35|08401|GRANOLLERS,41.604753,2.283938,41.604753,2.283938,0.00,Carrer d'Isabel de Villena,,1
CALLE ITALIA 28-30|08100|MOLLET DEL VALLES,41.539235,2.208575,41.539192,2.208595,5.06,Carrer de l'Abat Escarré,,1
CALLE JACINT VERDAGUER 20|08503|GURB,41.946403,2.239116,41.946460,2.239257,13.30,Carrer de Mossèn Jacint Verdaguer,,1
CALLE JACINT VERDAGUER 27|08500|VIC,41.930819,2.250234,41.930819,2.250234,0.00,Carrer de Jacint Verdaguer,,1
CALLE JACINT VERDAGUER 3|08170|MONTORNES DEL VALLES,41.542330,2.265084,41.542347,2.265043,3.91,Carrer de Jacint Verdaguer,,1
CALLE JACINT VERDAGUER 5|08500|VIC,41.930260,2.253396,41.930340,2.253423,9.16,Carrer de Jacint Verdaguer,,1
CALLE JAUME I 22|08510|RODA DE TER,41.989038,2.310133,41.989038,2.310133,0.00,Carrer de Jaume I,,1
CALLE JAUME I EL CONQUERIDOR 1|08500|VIC,41.932909,2.256359,41.932909,2.256359,0.00,Carrer de Jaume I el Conqueridor,,1
CALLE JAUME I EL CONQUERIDOR 3|08500|VIC,41.932909,2.256359,41.932909,2.256359,0.00,Carrer de Jaume I el Conqueridor,,1
CALLE JOAN CODINA VIVET S/N|08560|MANLLEU,42.009355,2.301999,42.009355,2.301999,0.00,Carrer de Joan Codina Vivet,,1
CALLE JOAN MARAGALL S/N|08100|MOLLET DEL VALLES,41.536464,2.205967,41.536378,2.206184,20.48,,,1
CALLE JOAN PERE FONTANELLA 41|08401|GRANOLLERS,41.605299,2.284371,41.605300,2.284371,0.11,Carrer de Joan Pere Fontanella,,1
CALLE JOAN PRIM 114|08402|GRANOLLERS,41.613639,2.290125,41.613639,2.290125,0.00,Carrer de Ramon Llull,,1
CALLE JOAN PRIM 182|08402|GRANOLLERS,41.618305,2.293063,41.618448,2.293121,16.60,Carrer de Pere el Gran,,1
CALLE JOAN PRIM 4|08402|GRANOLLERS,41.613639,2.290125,41.613639,2.290125,0.00,Carrer de Ramon Llull,,1
CALLE JOANOT MARTORELL 272|08402|GRANOLLERS,41.599944,2.274573,41.600215,2.274991,46.04,Carrer Joanot Martorell,,1
CALLE JOAQUIM MIR 57|08100|MOLLET DEL VALLES,41.547942,2.219424,41.547895,2.219505,8.54,Carrer del Pintor Joaquim Mir,,1
CALLE JOAQUIM MIR 88|08100|MOLLET DEL VALLES,41.548036,2.219814,41.548095,2.219707,11.08,Carrer del Pintor Joaquim Mir,,1
CALLE JOSEP TARRADELLAS 28|08160|MONTMELO,41.551477,2.243719,41.551477,2.243719,0.00,Carrer de Josep Tarradellas,,1
CALLE JOSEP TORRAS I BAGES 50|08401|GRANOLLERS,41.611021,2.286814,41.610921,2.287269,39.51,Carrer d'Espanya,,1
CALLE JOSEP UMBERT 130|08402|GRANOLLERS,41.601614,2.296243,41.601614,2.296243,0.00,Carrer de Josep Umbert,,1
CALLE JOSEP VILANOVA 6|08572|SANT PERE DE TORELLO,42.073636,2.298188,42.073636,2.298188,0.00,Carrer de Josep Vilanova,,1
CALLE L'ALIANCA 7|08186|LLICA D'AMUNT,41.610877,2.239431,41.610732,2.239462,16.31,Carrer de l'Aliança,,1
CALLE L'ESTRELLA 12|08170|MONTORNES DEL VALLES,41.542162,2.265443,41.542162,2.265443,0.00,Carrer de l'Estrella,,1
CALLE LA LLOTJA 9|08500|VIC,41.925704,2.246415,41.925655,2.246222,16.91,,,1
CALLE LA PRIMAVERA 10|08107|MARTORELLES,41.526535,2.230247,41.526535,2.230248,0.08,Carrer de la Primavera,,1
CALLE LA RIERA 13|08100|MOLLET DEL VALLES,41.536380,2.217068,41.536380,2.217067,0.08,Carrer de la Riera,,1
CALLE LAS CREMADES S/N|08140|CALDES DE MONTBUI,41.637352,2.158852,41.637149,2.158853,22.55,,,1
CALLE LLEIDA 58|08560|MANLLEU,42.003214,2.290407,42.003214,2.290407,0.00,Carrer Lleida,,1
CALLE LLEIDA S/N|08500|VIC,41.946206,2.259170,41.946206,2.259170,0.00,Carrer de Lleida,,1
CALLE LLUIS COMPANYS 41|08401|GRANOLLERS,41.596468,2.282058,41.596468,2.282058,0.00,Carrer de Lluís Companys,,1
CALLE MAJOR 11|08160|MONTMELO,41.551043,2.247244,41.551127,2.247467,20.81,Carrer d'Àngel Guimerà,,1
CALLE MAJOR 12|08519|FOLGUEROLES,41.938693,2.318224,41.938693,2.318224,0.00,Carrer Major,,1
CALLE MAJOR 33|08505|SANTA EULALIA DE RIUPRIMER,41.911105,2.189755,41.911104,2.189755,0.11,Carrer Major,,1
CALLE MAJOR 4|08571|SANT VICEN# DE TORELLO,42.063195,2.274057,42.063195,2.274057,0.00,Carrer Major,,1
CALLE MAJOR 53|08160|MONTMELO,41.551043,2.247244,41.551127,2.247467,20.81,Carrer d'Àngel Guimerà,,1
CALLE MAJOR 61|08170|MONTORNES DEL VALLES,41.540300,2.271578,41.540300,2.271579,0.08,Carrer Major,,1
CALLE MAJOR 66|08170|MONTORNES DEL VALLES,41.540300,2.271578,41.540300,2.271579,0.08,Carrer Major,,1
CALLE MALLORCA 10|08401|GRANOLLERS,41.600924,2.286601,41.600925,2.286601,0.11,Carrer de Mallorca,,1
CALLE MANLLEU 42|08500|VIC,41.932376,2.255408,41.932376,2.255408,0.00,Carrer de Manlleu,,1
CALLE MANLLEU 5|08500|VIC,41.932376,2.255408,41.932376,2.255408,0.00,Carrer de Manlleu,,1
CALLE MARE DE DEU DE MONTSERRAT 56|08401|GRANOLLERS,41.600819,2.284991,41.600819,2.284991,0.00,Carrer de Mare de Déu de Montserrat,,1
CALLE MARE DE DEU DE MONTSERRAT 58|08401|GRANOLLERS,41.600819,2.284991,41.600819,2.284991,0.00,Carrer de Mare de Déu de Montserrat,,1
CALLE MARQUES DE PALMEROLA 7|08508|LES MASIES DE VOLTREGA,42.003172,2.241584,42.003172,2.241584,0.00,Carrer Marquès de Palmerola,,1
CALLE MAS ESTAPER 8|08400|GRANOLLERS,41.614238,2.274921,41.614238,2.274921,0.00,Carrer del Mas Estaper,,1
CALLE MAS MORENETA S/N|08160|MONTMELO,41.549295,2.239633,41.549295,2.239633,0.00,Carrer de Mas Pellicer,,1
CALLE MATAGALLS 16|08107|MARTORELLES,41.526525,2.249458,41.526525,2.249458,0.00,Carrer del Matagalls,,1
CALLE MATARO 6|08403|GRANOLLERS,41.609925,2.278118,41.609925,2.278118,0.00,Carrer de Mataró,,1
CALLE MATARO S/N|08500|VIC,41.940971,2.253514,41.940971,2.253514,0.00,Carrer de Mataró,,1
CALLE MATARRANYA 2|08186|LLICA D'AMUNT,41.620560,2.213236,41.620560,2.213236,0.00,Carrer del Matarranya,,1
CALLE MATARRANYA 6|08186|LLICA D'AMUNT,41.620560,2.213236,41.620560,2.213236,0.00,Carrer del Matarranya,,1
CALLE MERCAT 7|08100|MOLLET DEL VALLES,41.536824,2.211613,41.536802,2.211596,2.83,,,1
CALLE METALURGIA S/N|08186|LLICA D AMUNT,41.608517,2.239511,41.608481,2.239268,20.64,Carrer d'Anselm Clavé,,1
CALLE MIQUEL BIADA 1|08105|SANT FOST DE CAMPSENTELLES,41.513799,2.240785,41.513799,2.240785,0.00,Carrer Miquel Biadat,,1
CALLE MIQUEL RICOMA 55|08401|GRANOLLERS,41.605520,2.286372,41.605520,2.286302,5.83,Carrer de Miquel Ricomà,,1
CALLE MIQUEL RICOMA 92|08401|GRANOLLERS,41.607334,2.286295,41.607203,2.286287,14.56,Carrer de Miquel Ricomà,,1
CALLE MIRAMARGES 1|08500|VIC,41.930311,2.246258,41.930311,2.246258,0.00,Carrer de Miramarges,,1
CALLE MIRAMARGES 8|08500|VIC,41.932580,2.247966,41.932537,2.248205,20.39,Carrer de Miramarges,,1
CALLE MISERICORDIA 4|08500|VIC,41.931570,2.258504,41.931570,2.258504,0.00,Carrer de la Misericòrdia,,1
CALLE MONISTROL 1|08150|PARETS DEL VALLES,41.562495,2.230057,41.562495,2.230057,0.00,Carrer de Monistrol,,1
CALLE MONTESQUIU 41|08570|TORELLO,42.050210,2.254459,42.050210,2.254459,0.00,Carrer de Montesquiu,,1
CALLE MONTSENY 10|08402|GRANOLLERS,41.609992,2.302936,41.609992,2.302937,0.08,Carrer del Montseny,,1
CALLE MONTSENY 1|08402|GRANOLLERS,41.609992,2.302936,41.609992,2.302937,0.08,Carrer del Montseny,,1
CALLE MONTSENY 4|08402|GRANOLLERS,41.609850,2.302168,41.609719,2.301724,39.76,,,1
CALLE MOSSEN PARASSOLS 1|08570|TORELLO,42.046965,2.262729,42.046965,2.262730,0.08,Carrer de Mn Parassols,,1
CALLE MOSSOS D'ESQUADRA 4|08100|MOLLET DEL VALLES,41.544080,2.220798,41.544165,2.220452,30.38,Rambla de Pompeu Fabra,,1
CALLE MUSEU 10-12|08401|GRANOLLERS,41.606885,2.288425,41.606826,2.289345,76.95,Plaça Pau Casals,,1
CALLE NICARAGUA 5|08100|MOLLET DEL VALLES,41.548770,2.205299,41.548608,2.205381,19.25,,,1
CALLE NURIA 14|08570|TORELLO,42.051307,2.254576,42.051307,2.254576,0.00,Carrer de Núria,,1
CALLE NURIA 27|08504|SANT JULIA DE VILATORTA,41.923517,2.323384,41.923518,2.323384,0.11,Carrer de Núria,,1
CALLE ONZE DE SETEMBRE 28|08100|MOLLET DEL VALLES,41.534973,2.207899,41.534913,2.207873,7.01,Carrer de l'Onze de Setembre,,1
CALLE ONZE DE SETEMBRE 9-13|08100|MOLLET DEL VALLES,41.534695,2.208433,41.534765,2.208465,8.22,Carrer de l'Onze de Setembre,,1
CALLE PALAU D'AMETLLA 14|08170|MONTORNES DEL VALLES,41.541811,2.265636,41.541811,2.265636,0.00,Carrer de Palau d'Ametlla,,1
CALLE PALAU D'AMETLLA 15|08170|MONTORNES DEL VALLES,41.541811,2.265636,41.541811,2.265636,0.00,Carrer de Palau d'Ametlla,,1
CALLE PAU VILA 12|08100|MOLLET DEL VALLES,41.545986,2.210377,41.546071,2.210340,9.93,Carrer de Pau Vila,,1
CALLE PERE RAMON 1|08100|MOLLET DEL VALLES,41.538999,2.212766,41.539120,2.212460,28.86,Avinguda de Jaume I,,1
CALLE PEROT ROCAGUINARDA 5|08500|VIC,41.928471,2.246344,41.928534,2.246726,32.45,Carrer de Perot Rocaguinarda,,1
CALLE PINEDA FOSCA 2|08100|MOLLET DEL VALLES,41.533522,2.215826,41.533609,2.215902,11.56,Carrer del Doctor Alexander Fleming,,1
CALLE PINTOR HUGUET 62|08226|TERRASSA,41.571559,2.024162,41.571559,2.024162,0.00,Carrer del pintor Huguet,,1
CALLE PIRINEU 22|08507|SANTA EUGENIA DE BERGA,41.903031,2.284143,41.903031,2.284143,0.00,Carrer del Pirineu,,1
CALLE PIUS XII 20|08500|VIC,41.923210,2.253579,41.923210,2.253579,0.00,Avinguda Pius XII,,1
CALLE POMPEU FABRA 15|08401|GRANOLLERS,41.607935,2.284838,41.607687,2.284920,28.38,Carrer de Sant Josep,,1
CALLE POMPEU FABRA 41|08105|SANT FOST DE CAMPSENTELLES,41.525764,2.221822,41.525764,2.221822,0.00,Carrer de Pompeu Fabra,,1
CALLE PONENT 12|08401|GRANOLLERS,41.609541,2.285791,41.609570,2.285663,11.14,Carrer de Ponent,,1
CALLE PROVENCA 200|08226|TERRASSA,41.575738,2.024970,41.575738,2.024970,0.00,Carrer de Provença,,1
CALLE PUIG 2|08505|SANTA EULALIA DE RIUPRIMER,41.912020,2.188045,41.912020,2.188046,0.08,carrer del Puig,,1
CALLE PUIG-ROVI 31|08570|TORELLO,42.051446,2.258303,42.051446,2.258303,0.00,Carrer de Puig-roví,,1
CALLE PUIGSACALM 15|08560|MANLLEU,42.001440,2.280765,42.001440,2.280764,0.08,Carrer Puigsacalm,,1
CALLE RAFAEL CASANOVA 56|08401|GRANOLLERS,41.612821,2.286228,41.612849,2.286119,9.60,Carrer de Rafael Casanova,,1
CALLE RAFAEL CASANOVA 64|08401|GRANOLLERS,41.611964,2.285709,41.611964,2.285709,0.00,Carrer de Rafael Casanova,,1
CALLE RAFAEL CASANOVA 6|08186|LLICA D'AMUNT,41.607506,2.240180,41.607507,2.240180,0.11,Carrer de rafael Casanova,,1
CALLE RAMON LLULL 17|08400|GRANOLLERS,41.613728,2.287919,41.613924,2.287972,22.21,Carrer de Ramon Llull,,1
CALLE REC D'ACUMULADA 9|08519|FOLGUEROLES,41.936818,2.311755,41.936818,2.311755,0.00,Carrer Rec d'Acumulada,,1
CALLE RIBERA D'EBRE 81|08186|LLICA D'AMUNT,41.613172,2.217870,41.613172,2.217870,0.00,Carrer de la Ribera d'Ebre,,1
CALLE RIERA 13|08500|VIC,41.931199,2.240379,41.931199,2.240379,0.00,Carrer de la Miqueleta Riera,,1
CALLE RIPOLL 53|08500|VIC,41.946460,2.256035,41.946460,2.256035,0.00,Carrer de Ripoll,,1
CALLE RIPOLL 67|08500|VIC,41.946983,2.257683,41.946807,2.257600,20.73,Carrer de Ripoll,,1
CALLE ROGER DE FLOR 45|08401|GRANOLLERS,41.609642,2.283416,41.609642,2.283417,0.08,Carrer de Roger de Flor,,1
CALLE SABADELL 04-JUN|08500|VIC,41.940430,2.252483,41.940430,2.252484,0.08,Carrer de Sabadell,,1
CALLE SALVADOR ESPRIU 10|08150|PARETS DEL VALLES,41.572719,2.236508,41.572719,2.236508,0.00,Carrer Salvador Espriu,,1
CALLE SALVADOR ESPRIU 30|08100|MOLLET DEL VALLES,41.547337,2.205914,41.547277,2.205939,6.98,Carrer de Salvador Espriu,,1
CALLE SALVADOR ESPRIU 38|08100|MOLLET DEL VALLES,41.546994,2.204472,41.546893,2.204439,11.55,Carrer de Salvador Espriu,,1
CALLE SANT ANTONI MARIA CLARET 1|08500|VIC,41.927869,2.253946,41.927869,2.253946,0.00,Carrer de Sant Antoni Maria Claret,,1
CALLE SANT FIDEL 3|08500|VIC,41.930915,2.256203,41.930915,2.256203,0.00,Carrer de Sant Fidel,,1
CALLE SANT FRANCESC 110|08500|VIC,41.925384,2.257122,41.925384,2.257122,0.00,Carrer de Sant Francesc,,1
CALLE SANT JAUME 25|17401|ARBUCIES,41.815446,2.513035,41.887535,2.442559,9916.61,Carretera de Sant Sadurní d'Osormort. Tram oest,,0
CALLE SANT JORDI 9|08503|GURB,41.941006,2.242308,41.941022,2.242287,2.49,Carrer de Sant Jordi,,1
CALLE SANT JOSEP 1|08401|GRANOLLERS,41.607619,2.284436,41.607618,2.284436,0.11,Carrer de Sant Josep,,1
CALLE SANT JOSEP 2|08510|LES MASIES DE RODA,41.990762,2.316924,41.990762,2.316925,0.08,Carrer Sant Josep,,1
CALLE SANT JOSEP 5|08401|GRANOLLERS,41.607619,2.284436,41.607618,2.284436,0.11,Carrer de Sant Josep,,1
CALLE SANT MARTI XIC 6|08508|LES MASIES DE VOLTREGA,42.008933,2.240238,42.008933,2.240238,0.00,Carrer Sant Martí Xic,,1
CALLE SANT MIQUEL DELS SANTS 1|08500|VIC,41.929799,2.254753,41.929835,2.254762,4.07,Carrer de Sant Miquel dels Sants,,1
CALLE SANT PERE 32|08510|RODA DE TER,41.985352,2.312126,41.985352,2.312125,0.08,Carrer de Sant Pere,,1
CALLE SANT ROC 19|08402|GRANOLLERS,41.599703,2.291233,41.599721,2.291026,17.38,Carrer Llevant,,1
CALLE SANT ROC 29|08401|GRANOLLERS,41.608339,2.288435,41.608146,2.289737,110.60,,,1
CALLE SANT ROC 29|08503|GURB,41.939777,2.238478,41.939777,2.238478,0.00,Carrer de Sant Roc,,1
CALLE SANT SADURNI 37-39|08430|LA ROCA DEL VALLES,41.590168,2.326092,41.590172,2.325870,18.52,Carrer de l'Església,,1
CALLE SANTA ESPERAN#A 11|08401|GRANOLLERS,41.607636,2.288262,41.607434,2.289415,98.67,Plaça Pau Casals,,1
CALLE SANTIAGO RUSI#OL 1|08500|VIC,41.935702,2.259921,41.935702,2.259922,0.08,Carrer d'en Santiago Rusiñol,,1
CALLE SANTIAGO RUSI?OL 9|08160|MONTMELO,41.596081,2.578315,41.672545,2.480215,11788.02,Autopista de la Mediterrània,,0
CALLE SOCOS 20|08540|CENTELLES,41.796741,2.218958,41.796741,2.218958,0.00,Carrer de la Mare de Déu del Socors,,1
CALLE SOGORB 35-37|08560|MANLLEU,42.006632,2.289361,42.006633,2.289361,0.11,Carrer Sogorb,,1
CALLE SOGORB 79|08560|MANLLEU,42.006632,2.289361,42.006633,2.289361,0.11,Carrer Sogorb,,1
CALLE SOLEDAT 13|08500|VIC,41.927242,2.255694,41.927242,2.255694,0.00,Carrer de la Soledat,,1
CALLE SOLEDAT 4|08500|VIC,41.927242,2.255694,41.927242,2.255694,0.00,Carrer de la Soledat,,1
CALLE SOLSONA 4|08500|VIC,41.939043,2.253095,41.939259,2.253041,24.41,,,1
CALLE TAGAMANENT 1|08500|VIC,41.919623,2.256953,41.919610,2.256812,11.78,Carrer de Tagamanent,,1
CALLE TER 66|08570|TORELLO,42.047269,2.258806,42.047269,2.258806,0.00,Carrer del Ter,,1
CALLE TORELLO 25|08500|VIC,41.932562,2.265932,41.932562,2.265932,0.00,Carrer Torelló,,1
CALLE TORRENT 3|08510|RODA DE TER,41.985656,2.305737,41.985656,2.305737,0.00,Carrer del Torrent,,1
CALLE TORRES I BAGES 53|08401|GRANOLLERS,41.611021,2.286814,41.610921,2.287269,39.51,Carrer d'Espanya,,1
CALLE TRAVESSERES 43|08401|GRANOLLERS,41.609029,2.286280,41.609113,2.286049,21.39,Carrer del Triomf,,1
CALLE TRES TORRES 16|08401|GRANOLLERS,41.606678,2.282952,41.606528,2.282959,16.67,Carrer d'Anníbal,,1
CALLE VALLESPIR 10|08402|GRANOLLERS,41.590882,2.288042,41.590882,2.288042,0.00,Carrer Vallespir,,1
CALLE VALLESPIR 1|08402|GRANOLLERS,41.590882,2.288042,41.590882,2.288042,0.00,Carrer Vallespir,,1
CALLE VERDAGUER 2|08572|SANT PERE DE TORELLO,42.075131,2.296562,42.075351,2.296581,24.49,Carrer Verdaguer,,1
"CALLE VERNEDA 66-70, LOCAL 2|08107|MARTORELLES",41.536549,2.230297,41.536549,2.230297,0.00,Carrer de la Verneda,,1
CALLE VIC 7|08160|MONTMELO,41.557427,2.252341,41.557401,2.252402,5.85,Carrer de Vic,,1
CALLE VICTOR CATALA 15|08150|PARETS DEL VALLES,41.574478,2.223925,41.574478,2.223926,0.08,Carrer de l'Orfeó Català,,1
CALLE VICTOR CATALA 2|08150|PARETS DEL VALLES,41.574478,2.223925,41.574478,2.223926,0.08,Carrer de l'Orfeó Català,,1
CALLE VICTOR CATALA 9|08150|PARETS DEL VALLES,41.574478,2.223925,41.574478,2.223926,0.08,Carrer de l'Orfeó Català,,1
CALLE VILANOVA S/N|08170|MONTORNES DEL VALLES,41.542545,2.267056,41.542460,2.267004,10.39,Carrer d'Anselm Clavé,,1
CAMI DE LA PINEDA 6|08186|LLICA D'AMUNT,41.607157,2.226912,41.607157,2.226912,0.00,Camí de la Pineda,,1
CAMI DEL GUAL 11|08187|SANTA EULALIA DE RONCANA,41.638043,2.236990,41.638043,2.236990,0.00,Camí del Gual,,1
CAMINO CAN VILA S/N|08100|MOLLET DEL VALLES,41.554918,2.216636,41.554914,2.217174,44.87,Camí de Can Vila,,1
CAMINO ELS CASTANYERS S/N|08105|SANT FOST DE CAMPSENTELLES,41.497224,2.233309,41.499596,2.235815,336.48,,,0
CAN FENOSA 1-2 -|08107|MARTORELLES,41.534762,2.229102,41.535170,2.228522,66.31,Carrer de la Verneda,,1
CAN MAGRE 23|08100|MOLLET DEL VALLES,41.543116,2.219026,41.543116,2.219026,0.00,Carrer de Can Magre,,1
CAN PARELLADA SN|08170|MONTORNES DEL VALLES,41.565088,2.272133,41.564714,2.272632,58.80,Camí de Can Pla,,1
CARRER BARCELONA 1|08508|LES MASIES DE VOLTREGA,42.016368,2.245132,42.016368,2.245132,0.00,Carrer Barcelona,,1
CARRER BARCELONA 28|08508|LES MASIES DE VOLTREGA,42.009454,2.241359,42.009616,2.241126,26.38,Carrer Onze de Setembre,,1
CARRER BARCELONA 60|08521|BELLAVISTA,41.621178,2.300617,41.621274,2.300349,24.75,Carrer de Maria Elena Maseras,,1
CARRER BARONIA DE MONTBUI 42|08186|LLICA D'AMUNT,41.605725,2.238985,41.605725,2.238985,0.00,Carrer de la Baronia de Montbui,,1
CARRER CAMI VELL DE VIC 16|08519|FOLGUEROLES,41.937876,2.310099,41.937726,2.310012,18.16,camí Vell de Vic,,1
CARRER CAN MAGI 10|08210|BARBERA DEL VALLES,41.517218,2.144816,41.517218,2.144816,0.00,Carrer Can Magí,,1
CARRER CAN MAGRE 23|08100|MOLLET DEL VALLES,41.543116,2.219026,41.543116,2.219026,0.00,Carrer de Can Magre,,1
CARRER CAN NADAL 12|08185|LLICA DE VALL,41.589994,2.249951,41.589778,2.250025,24.77,,,1
CARRER COLOM 209|08223|TERRASSA,41.548045,2.027546,41.548045,2.027546,0.00,Carrer de Colom,,1
CARRER D' ESTEVE GARRELL 8|08402|GRANOLLERS,41.592940,2.290122,41.592940,2.290122,0.00,Carrer d'Esteve Terrades,,1
CARRER D'ALFONS IV 38|08401|GRANOLLERS,41.604557,2.288142,41.604557,2.288142,0.00,Carrer d'Alfons IV,,1
CARRER D'ALFONS IV 48|08401|GRANOLLERS,41.604557,2.288142,41.604557,2.288142,0.00,Carrer d'Alfons IV,,1
CARRER D'ANSELM CLAVE 13|08100|MOLLET DEL VALLES,41.538623,2.214425,41.538623,2.214425,0.00,Carrer d'Anselm Clavé,,1
CARRER D'ANSELM CLAVE 15|08100|MOLLET DEL VALLES,41.538729,2.214387,41.538696,2.214474,8.13,Carrer d'Anselm Clavé,,1
CARRER D'ANSELM CLAVE 60|08186|LLICA D'AMUNT,41.609158,2.239292,41.609158,2.239293,0.08,Carrer d'Anselm Clavé,,1
CARRER D'ARAGO 11|08150|PARETS DEL VALLES,41.558080,2.218887,41.558086,2.219075,15.69,Carrer d'Amanda Sacristà,,1
CARRER D'ARAGO 2|08150|PARETS DEL VALLES,41.573134,2.233839,41.573072,2.233868,7.30,Carrer Major,,1
CARRER D'EMILI BOTEY ALSINA 22|08402|GRANOLLERS,41.597535,2.288429,41.597535,2.288429,0.00,Carrer d'Emili Botey Alsina,,1
CARRER D'EN BAC DE RODA 45|08510|RODA DE TER,41.984288,2.309861,41.984288,2.309861,0.00,Carrer de Bac de Roda,,1
CARRER D'EUROPA 1|08913|BADALONA,41.438236,2.216669,41.438206,2.216603,6.45,Carrer de Ramiro de Maeztu,,1
CARRER D'ISABEL DE VILLENA 64|08401|GRANOLLERS,41.604753,2.283938,41.604753,2.283938,0.00,Carrer d'Isabel de Villena,,1
CARRER DE BARCELONA 136|08105|SANT FOST DE CAMPSENTELLES,41.518752,2.232832,41.518750,2.232697,11.27,,,1
CARRER DE BARCELONA 71|08510|RODA DE TER,41.976481,2.304362,41.976481,2.304362,0.00,Carrer de Barcelona,,1
CARRER DE BERENGUER III S/N|08100|MOLLET DEL VALLES,41.536247,2.215520,41.536247,2.215520,0.00,Carrer de Berenguer III,,1
CARRER DE BORRELL 16|08100|MOLLET DEL VALLES,41.543538,2.209294,41.543508,2.209240,5.60,Carrer de Borrell,,1
CARRER DE CABRERA 1|08570|TORELLO,42.045010,2.272013,42.045009,2.272012,0.14,Carrer Cabrera,,1
CARRER DE CAN FLEQUER 17|08100|MOLLET DEL VALLES,41.544915,2.220243,41.544915,2.220243,0.00,Carrer de Can Flequer,,1
CARRER DE CAN PANTIQUET 18|08100|MOLLET DEL VALLES,41.547999,2.219331,41.548114,2.219451,16.23,Carrer de Lluís Millet,,1
CARRER DE CAN PANTIQUET 36|08100|MOLLET DEL VALLES,41.544312,2.219483,41.544393,2.219350,14.29,Carrer de Can Mollet,,1
CARRER DE CAN PANTIQUET S/N|08100|MOLLET DEL VALLES,41.547612,2.221660,41.547612,2.221660,0.00,Carrer de Can Pantiquet,,1
CARRER DE CANIGO 41|08570|TORELLO,42.050770,2.256546,42.050770,2.256546,0.00,Carrer del Canigó,,1
