direccion_normalizada,lat_orig,lon_orig,lat_snap,lon_snap,snap_dist_m,calle,highway_type,hgv_ok
AVENIDA PEDRA DEL DIABLE 28|08150|PARETS DEL VALLES,41.567654,2.227606,41.567654,2.227606,0.00,Avinguda Pedra del Diable,,1
AVENIDA PEDRA DEL DIABLE 6|08150|PARETS DEL VALLES,41.567654,2.227606,41.567654,2.227606,0.00,Avinguda Pedra del Diable,,1
AVENIDA PIERA 33|08107|MARTORELLES,41.527547,2.232291,41.527547,2.232291,0.00,Avinguda d'en Piera,,1
AVENIDA PIERA 45|08107|MARTORELLES,41.527547,2.232291,41.527547,2.232291,0.00,Avinguda d'en Piera,,1
AVENIDA PIUS XII 18|08500|VIC,41.923210,2.253579,41.923210,2.253579,0.00,Avinguda Pius XII,,1
AVENIDA POMPEU FABRA 3|08160|MONTMELO,41.551053,2.248644,41.551053,2.248644,0.00,Rambla de Pompeu Fabra,,1
AVENIDA RABASSAIRES 40|08100|MOLLET DEL VALLES,41.540821,2.222496,41.540852,2.222417,7.44,,,1
AVENIDA RAFAEL CASANOVA 12|08100|MOLLET DEL VALLES,41.537944,2.210773,41.537805,2.210789,15.50,Avinguda de Rafael Casanova,,1
AVENIDA RIVOLI 22|08100|MOLLET DEL VALLES,41.546921,2.208966,41.546848,2.208996,8.49,Avinguda de Rivoli,,1
AVENIDA ROMA 104|08560|MANLLEU,42.003577,2.283574,42.003577,2.283574,0.00,Avinguda de Roma,,1
AVENIDA ROMA 106|08560|MANLLEU,42.003577,2.283574,42.003577,2.283574,0.00,Avinguda de Roma,,1
AVENIDA SANT BERNAT CALBO 23|08500|VIC,41.936124,2.264756,41.936123,2.264756,0.11,Avinguda de Sant Bernat Calbó,,1
AVENIDA SANT BERNAT CALBO 42|08500|VIC,41.936124,2.264756,41.936123,2.264756,0.11,Avinguda de Sant Bernat Calbó,,1
AVENIDA SANT ESTEVE 35|08402|GRANOLLERS,41.605095,2.290546,41.605095,2.290545,0.08,Avinguda de Sant Esteve,,1
AVENIDA SANT ESTEVE 3|08402|GRANOLLERS,41.605095,2.290546,41.605095,2.290545,0.08,Avinguda de Sant Esteve,,1
AVENIDA SANT ESTEVE 59|08402|GRANOLLERS,41.605095,2.290546,41.605095,2.290545,0.08,Avinguda de Sant Esteve,,1
AVENIDA SANT ESTEVE 73|08402|GRANOLLERS,41.601443,2.290616,41.601447,2.290438,14.84,Avinguda de Sant Esteve,,1
AVENIDA SANT JERONI 13|08105|SANT FOST DE CAMPSENTELLES,41.523035,2.223657,41.523060,2.223613,4.60,Avinguda de Sant Jeroni,,1
AVENIDA SANT JERONI 3|08105|SANT FOST DE CAMPSENTELLES,41.523399,2.223953,41.523399,2.223953,0.00,Avinguda de Sant Jeroni,,1
AVENIDA SANT JERONI 4|08105|SANT FOST DE CAMPSENTELLES,41.523399,2.223953,41.523399,2.223953,0.00,Avinguda de Sant Jeroni,,1
AVENIDA SANT JERONI 7|08105|SANT FOST,41.523399,2.223953,41.523399,2.223953,0.00,Avinguda de Sant Jeroni,,1
AVENIDA SANT LLORENC S/N|08504|SANT JULIA DE VILATORTA,41.925582,2.328720,41.925582,2.328720,0.00,Avinguda de Sant Llorenç,,1
AVENIDA SANT MORITZ 15|08185|LLICA DE VALL,41.594562,2.237770,41.594562,2.237769,0.08,Avinguda de Sant Moritz,,1
AVENIDA TECLA SALA S/N|08510|RODA DE TER,41.988645,2.313814,41.988645,2.313814,0.00,Avinguda de Tecla Sala,,1
AVENIDA VALLES 546|08227|TERRASSA,41.568837,2.034602,41.568837,2.034570,2.67,Avinguda del Vallès,,1
AVINGUDA BADALONA 18|08100|MOLLET DEL VALLES,41.530751,2.218028,41.530751,2.218028,0.00,Avinguda de Badalona,,1
AVINGUDA BELLMUNT 25|08560|MANLLEU,42.007400,2.292871,42.007400,2.292871,0.00,Avinguda Bellmunt,,1
AVINGUDA CANTALLOPS 14|08185|LLICA DE VALL,41.579884,2.233200,41.579884,2.233200,0.00,Avinguda de Cantallops,,1
AVINGUDA D'ANGEL SALLENT 146|08224|TERRASSA,41.560866,1.998741,41.560866,1.998741,0.00,Avinguda d'Àngel Sallent,,1
AVINGUDA D'ANTONI GAUDI 12|08100|MOLLET DEL VALLES,41.544694,2.217975,41.544893,2.218181,28.00,Carrer de Sant Roc,,1
AVINGUDA D'OLIMPIA 7|08500|VIC,41.933126,2.241895,41.933327,2.241861,22.50,Avinguda d'Olímpia,,1
AVINGUDA DE BURGOS 66|08100|MOLLET DEL VALLES,41.534261,2.208602,41.534227,2.208683,7.74,,,1
AVINGUDA DE CALDES DE MONTBUI 17|08100|MOLLET DEL VALLES,41.545072,2.205698,41.545099,2.205809,9.74,Avinguda de Caldes de Montbui,,1
AVINGUDA DE CATALUNYA 102|08150|PARETS DEL VALLES,41.566831,2.230110,41.566831,2.230110,0.00,Avinguda de Catalunya,,1
AVINGUDA DE CATALUNYA 111|08150|PARETS DEL VALLES,41.556835,2.226768,41.556835,2.226768,0.00,Avinguda de Catalunya,,1
AVINGUDA DE CATALUNYA 129|08150|PARETS DEL VALLES,41.561669,2.228238,41.561669,2.228238,0.00,Avinguda de Catalunya,,1
AVINGUDA DE CATALUNYA 133|08150|PARETS DEL VALLES,41.561669,2.228238,41.561669,2.228238,0.00,Avinguda de Catalunya,,1
AVINGUDA DE CATALUNYA 51|08930|BARCELONA,41.431337,2.217863,41.431311,2.217762,8.92,Carrer de Miquel Servet,,1
AVINGUDA DE CATALUNYA 61|08185|LLICA DE VALL,41.578952,2.236280,41.578952,2.236281,0.08,Avinguda de Catalunya,,1
AVINGUDA DE CATALUNYA 92|08150|PARETS DEL VALLES,41.561669,2.228238,41.561669,2.228238,0.00,Avinguda de Catalunya,,1
AVINGUDA DE FRANCESC MACIA 11|08150|PARETS DEL VALLES,41.572044,2.236293,41.571941,2.236233,12.49,Avinguda de Francesc Macià,,1
AVINGUDA DE FRANCESC MACIA 12|08150|PARETS DEL VALLES,41.572186,2.235472,41.572186,2.235472,0.00,Avinguda de Francesc Macià,,1
AVINGUDA DE JAUME I 156|08100|MOLLET DEL VALLES,41.541186,2.214040,41.541186,2.214039,0.08,Avinguda de Jaume I,,1
AVINGUDA DE JAUME I 57|08100|MOLLET DEL VALLES,41.539784,2.212846,41.539748,2.212928,7.93,Avinguda de Jaume I,,1
AVINGUDA DE L'ATLANTIDA 8|08519|FOLGUEROLES,41.938422,2.318959,41.938422,2.318958,0.08,avinguda de l'Atlàntida,,1
AVINGUDA DE L'ONZE DE SETEMBRE 36|08170|MONTORNES DEL VALLES,41.542577,2.263950,41.542616,2.263889,6.68,Avinguda de l'Onze de Septembre,,1
AVINGUDA DE LA LLIBERTAT 12|08100|MOLLET DEL VALLES,41.536904,2.211937,41.536964,2.211984,7.73,Carrer de Pau Claris,,1
AVINGUDA DE LA LLIBERTAT 20|08100|MOLLET DEL VALLES,41.535897,2.211341,41.535790,2.211630,26.89,Avinguda de la Llibertat,,1
AVINGUDA DE LA LLIBERTAT 2|08100|MOLLET DEL VALLES,41.537603,2.212664,41.537561,2.212798,12.12,Avinguda de la Llibertat,,1
AVINGUDA DE LA LLIBERTAT 39|08100|MOLLET DEL VALLES,41.535515,2.211448,41.535515,2.211447,0.08,Avinguda de la Llibertat,,1
AVINGUDA DE LA MARE DE DEU DE MO 26|08170|MONTORNES DEL VALLES,41.539619,2.263020,41.539619,2.263021,0.08,Avinguda de la Mare de Déu de Montserrat,,1
AVINGUDA DE LA PEDRA DEL DIABLE 9|08150|PARETS DEL VALLES,41.567321,2.228649,41.567393,2.228680,8.40,Avinguda Pedra del Diable,,1
AVINGUDA DE LA RIBERA 6|08503|GURB,41.949359,2.250376,41.949359,2.250376,0.00,Avinguda de la Ribera,,1
AVINGUDA DE PIUS XII 11|08500|VIC,41.922227,2.259042,41.922226,2.259042,0.11,Avinguda de Pius XII,,1
AVINGUDA DE POMPEU FABRA 24|08160|MONTMELO,41.551053,2.248644,41.551053,2.248644,0.00,Rambla de Pompeu Fabra,,1
